Source,Target,Value
AT&T,REPUBLICAN NATIONAL COMMITTEE,15000
Comcast,REPUBLICAN NATIONAL COMMITTEE,200000
AT&T,REPUBLICAN NATIONAL SENATORIAL COMMITTEE,1500
Verizon,REPUBLICAN NATIONAL SENATORIAL COMMITTEE,15000
Comcast,REPUBLICAN NATIONAL SENATORIAL COMMITTEE,30000
Lumen Technologies,REPUBLICAN NATIONAL SENATORIAL COMMITTEE,15000
Charter Communications,REPUBLICAN NATIONAL SENATORIAL COMMITTEE,45000
AT&T,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,1000
Verizon,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,15000
Comcast,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,32000
Lumen Technologies,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,15000
Charter Communications,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,30000
AT&T,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,1000
Verizon,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,15000
Comcast,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,30000
Lumen Technologies,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,15000
Charter Communications,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,30000
AT&T,TEAM RYAN,70000
Comcast,TEAM RYAN,5000
Charter Communications,TEAM RYAN,5000
AT&T,WALDEN FOR CONGRESS,5500
Verizon,WALDEN FOR CONGRESS,5000
Comcast,WALDEN FOR CONGRESS,21000
Sprint,WALDEN FOR CONGRESS,3500
Cox Enterprises,WALDEN FOR CONGRESS,5000
Windstream,WALDEN FOR CONGRESS,2500
Lumen Technologies,WALDEN FOR CONGRESS,5000
Charter Communications,WALDEN FOR CONGRESS,10000
AT&T,UPTON FOR ALL OF US,10000
Verizon,UPTON FOR ALL OF US,10000
Comcast,UPTON FOR ALL OF US,15000
Sprint,UPTON FOR ALL OF US,1000
Cox Enterprises,UPTON FOR ALL OF US,1000
Lumen Technologies,UPTON FOR ALL OF US,5000
Charter Communications,UPTON FOR ALL OF US,10000
AT&T,COLLINS FOR CONGRESS,8000
Verizon,COLLINS FOR CONGRESS,3000
Comcast,COLLINS FOR CONGRESS,15500
Sprint,COLLINS FOR CONGRESS,2000
Cox Enterprises,COLLINS FOR CONGRESS,6000
Windstream,COLLINS FOR CONGRESS,2000
Charter Communications,COLLINS FOR CONGRESS,12500
AT&T,STRANGE FOR SENATE,5000
Verizon,STRANGE FOR SENATE,8500
Comcast,STRANGE FOR SENATE,23500
Cox Enterprises,STRANGE FOR SENATE,1000
Charter Communications,STRANGE FOR SENATE,10000
AT&T,WICKER FOR SENATE,2000
Verizon,WICKER FOR SENATE,10000
Comcast,WICKER FOR SENATE,22500
Sprint,WICKER FOR SENATE,4250
Cox Enterprises,WICKER FOR SENATE,5000
Lumen Technologies,WICKER FOR SENATE,2500
Charter Communications,WICKER FOR SENATE,1500
AT&T,LATTA FOR CONGRESS,5000
Verizon,LATTA FOR CONGRESS,5000
Comcast,LATTA FOR CONGRESS,15000
Sprint,LATTA FOR CONGRESS,1500
Cox Enterprises,LATTA FOR CONGRESS,6000
Lumen Technologies,LATTA FOR CONGRESS,4000
Charter Communications,LATTA FOR CONGRESS,10000
AT&T,ANN WAGNER FOR CONGRESS,10000
Verizon,ANN WAGNER FOR CONGRESS,3000
Comcast,ANN WAGNER FOR CONGRESS,10000
Sprint,ANN WAGNER FOR CONGRESS,1000
Charter Communications,ANN WAGNER FOR CONGRESS,21000
AT&T,REPUBLICAN NATIONAL SENATORIAL COMMITTEE,45000
AT&T,REPUBLICAN NATIONAL COMMITTEE,45000
AT&T,GRAVES FOR CONGRESS,10000
Verizon,GRAVES FOR CONGRESS,6500
Comcast,GRAVES FOR CONGRESS,16000
Sprint,GRAVES FOR CONGRESS,1000
Cox Enterprises,GRAVES FOR CONGRESS,5000
Lumen Technologies,GRAVES FOR CONGRESS,1000
Charter Communications,GRAVES FOR CONGRESS,5000
AT&T,STABENOW FOR US SENATE,3500
Verizon,STABENOW FOR US SENATE,4000
Comcast,STABENOW FOR US SENATE,17500
Cox Enterprises,STABENOW FOR US SENATE,8500
Lumen Technologies,STABENOW FOR US SENATE,1000
Charter Communications,STABENOW FOR US SENATE,10000
AT&T,MONTANANS FOR TESTER,4500
Verizon,MONTANANS FOR TESTER,5000
Comcast,MONTANANS FOR TESTER,11000
Cox Enterprises,MONTANANS FOR TESTER,7500
TDS Telecom,MONTANANS FOR TESTER,500
Lumen Technologies,MONTANANS FOR TESTER,4000
Charter Communications,MONTANANS FOR TESTER,11000
AT&T,RYAN COSTELLO FOR CONGRESS,5000
Verizon,RYAN COSTELLO FOR CONGRESS,4500
Comcast,RYAN COSTELLO FOR CONGRESS,13500
Sprint,RYAN COSTELLO FOR CONGRESS,1500
Cox Enterprises,RYAN COSTELLO FOR CONGRESS,6500
Lumen Technologies,RYAN COSTELLO FOR CONGRESS,5000
Charter Communications,RYAN COSTELLO FOR CONGRESS,7500
AT&T,HOYER FOR CONGRESS,5000
Verizon,HOYER FOR CONGRESS,5000
Comcast,HOYER FOR CONGRESS,20000
Sprint,HOYER FOR CONGRESS,1000
Cox Enterprises,HOYER FOR CONGRESS,7500
Charter Communications,HOYER FOR CONGRESS,2500
AT&T,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,15000
Verizon,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,1375
Comcast,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,2500
Sprint,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,5000
Cox Enterprises,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,15000
AT&T,SCALISE FOR CONGRESS,5000
Verizon,SCALISE FOR CONGRESS,5000
Comcast,SCALISE FOR CONGRESS,12500
Cox Enterprises,SCALISE FOR CONGRESS,5000
Lumen Technologies,SCALISE FOR CONGRESS,5000
Charter Communications,SCALISE FOR CONGRESS,5000
AT&T,DONNELLY FOR INDIANA,4000
Verizon,DONNELLY FOR INDIANA,7000
Comcast,DONNELLY FOR INDIANA,20000
Cox Enterprises,DONNELLY FOR INDIANA,1000
Lumen Technologies,DONNELLY FOR INDIANA,2000
Charter Communications,DONNELLY FOR INDIANA,2500
AT&T,CRAMER FOR CONGRESS,10000
Verizon,CRAMER FOR CONGRESS,3000
Comcast,CRAMER FOR CONGRESS,5000
Sprint,CRAMER FOR CONGRESS,1500
Cox Enterprises,CRAMER FOR CONGRESS,2500
TDS Telecom,CRAMER FOR CONGRESS,1000
Lumen Technologies,CRAMER FOR CONGRESS,3500
Charter Communications,CRAMER FOR CONGRESS,10000
AT&T,BILL NELSON FOR U S SENATE,2000
Verizon,BILL NELSON FOR U S SENATE,2000
Comcast,BILL NELSON FOR U S SENATE,15000
Cox Enterprises,BILL NELSON FOR U S SENATE,3500
Lumen Technologies,BILL NELSON FOR U S SENATE,1000
Charter Communications,BILL NELSON FOR U S SENATE,13000
AT&T,NEW PIONEERS PAC,5000
Verizon,NEW PIONEERS PAC,5000
Comcast,NEW PIONEERS PAC,11000
Sprint,NEW PIONEERS PAC,500
Cox Enterprises,NEW PIONEERS PAC,5000
Lumen Technologies,NEW PIONEERS PAC,5000
Charter Communications,NEW PIONEERS PAC,5000
AT&T,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,15000
Sprint,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,5000
Cox Enterprises,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,16000
Lumen Technologies,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,250
AT&T,HELLER FOR SENATE,500
Verizon,HELLER FOR SENATE,7500
Comcast,HELLER FOR SENATE,10500
Sprint,HELLER FOR SENATE,2000
Cox Enterprises,HELLER FOR SENATE,6000
Lumen Technologies,HELLER FOR SENATE,2000
Charter Communications,HELLER FOR SENATE,7000
AT&T,BILLY LONG FOR CONGRESS,5000
Verizon,BILLY LONG FOR CONGRESS,4000
Comcast,BILLY LONG FOR CONGRESS,9000
Sprint,BILLY LONG FOR CONGRESS,1000
Cox Enterprises,BILLY LONG FOR CONGRESS,2000
Windstream,BILLY LONG FOR CONGRESS,1000
Lumen Technologies,BILLY LONG FOR CONGRESS,3500
Charter Communications,BILLY LONG FOR CONGRESS,10000
AT&T,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,15000
Sprint,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,5000
Cox Enterprises,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,15000
Verizon,"RYAN FOR CONGRESS, INC.",5000
Comcast,"RYAN FOR CONGRESS, INC.",20000
Lumen Technologies,"RYAN FOR CONGRESS, INC.",10000
AT&T,CROWLEY FOR CONGRESS,5000
Verizon,CROWLEY FOR CONGRESS,5000
Comcast,CROWLEY FOR CONGRESS,12000
Cox Enterprises,CROWLEY FOR CONGRESS,2500
Charter Communications,CROWLEY FOR CONGRESS,10000
AT&T,KINZINGER FOR CONGRESS,5000
Verizon,KINZINGER FOR CONGRESS,6000
Comcast,KINZINGER FOR CONGRESS,10000
Sprint,KINZINGER FOR CONGRESS,2000
Cox Enterprises,KINZINGER FOR CONGRESS,2500
Windstream,KINZINGER FOR CONGRESS,1000
Lumen Technologies,KINZINGER FOR CONGRESS,5000
Charter Communications,KINZINGER FOR CONGRESS,2500
AT&T,HAWAII PAC,5000
Verizon,HAWAII PAC,2500
Comcast,HAWAII PAC,10000
Cox Enterprises,HAWAII PAC,5000
Lumen Technologies,HAWAII PAC,1000
Charter Communications,HAWAII PAC,10000
AT&T,JEFF FLAKE FOR US SENATE INC,2000
Verizon,JEFF FLAKE FOR US SENATE INC,8000
Comcast,JEFF FLAKE FOR US SENATE INC,20000
Lumen Technologies,JEFF FLAKE FOR US SENATE INC,3000
AT&T,VOLUNTEERS FOR SHIMKUS,5000
Verizon,VOLUNTEERS FOR SHIMKUS,5000
Comcast,VOLUNTEERS FOR SHIMKUS,10000
Sprint,VOLUNTEERS FOR SHIMKUS,1000
Cox Enterprises,VOLUNTEERS FOR SHIMKUS,2000
Charter Communications,VOLUNTEERS FOR SHIMKUS,10000
AT&T,ISSA FOR CONGRESS,5000
Verizon,ISSA FOR CONGRESS,3000
Comcast,ISSA FOR CONGRESS,10000
Sprint,ISSA FOR CONGRESS,2500
Cox Enterprises,ISSA FOR CONGRESS,6000
Windstream,ISSA FOR CONGRESS,1500
Charter Communications,ISSA FOR CONGRESS,5000
AT&T,ALAMO PAC,5000
Verizon,ALAMO PAC,5000
Comcast,ALAMO PAC,10000
Sprint,ALAMO PAC,2000
Cox Enterprises,ALAMO PAC,1000
Charter Communications,ALAMO PAC,10000
AT&T,WALTERS FOR CONGRESS,6000
Verizon,WALTERS FOR CONGRESS,3000
Comcast,WALTERS FOR CONGRESS,10000
Sprint,WALTERS FOR CONGRESS,500
Cox Enterprises,WALTERS FOR CONGRESS,7000
Lumen Technologies,WALTERS FOR CONGRESS,1000
Charter Communications,WALTERS FOR CONGRESS,5000
AT&T,SCOTT PETERS FOR CONGRESS,5000
Verizon,SCOTT PETERS FOR CONGRESS,3500
Comcast,SCOTT PETERS FOR CONGRESS,11000
Sprint,SCOTT PETERS FOR CONGRESS,500
Cox Enterprises,SCOTT PETERS FOR CONGRESS,7000
Lumen Technologies,SCOTT PETERS FOR CONGRESS,500
Charter Communications,SCOTT PETERS FOR CONGRESS,5000
AT&T,OLSON FOR CONGRESS COMMITTEE,5000
Verizon,OLSON FOR CONGRESS COMMITTEE,4000
Comcast,OLSON FOR CONGRESS COMMITTEE,7500
Sprint,OLSON FOR CONGRESS COMMITTEE,500
Cox Enterprises,OLSON FOR CONGRESS COMMITTEE,5500
Charter Communications,OLSON FOR CONGRESS COMMITTEE,10000
AT&T,JOHNSON FOR CONGRESS,5000
Verizon,JOHNSON FOR CONGRESS,4000
Comcast,JOHNSON FOR CONGRESS,11000
Sprint,JOHNSON FOR CONGRESS,1500
Cox Enterprises,JOHNSON FOR CONGRESS,2000
Lumen Technologies,JOHNSON FOR CONGRESS,3500
Charter Communications,JOHNSON FOR CONGRESS,5000
Verizon,HATCH ELECTION COMMITTEE INC,5000
Comcast,HATCH ELECTION COMMITTEE INC,20000
Cox Enterprises,HATCH ELECTION COMMITTEE INC,5000
Lumen Technologies,HATCH ELECTION COMMITTEE INC,2000
AT&T,KAINE FOR VIRGINIA,2500
Verizon,KAINE FOR VIRGINIA,5000
Comcast,KAINE FOR VIRGINIA,10500
Sprint,KAINE FOR VIRGINIA,1000
Cox Enterprises,KAINE FOR VIRGINIA,7500
Charter Communications,KAINE FOR VIRGINIA,5000
AT&T,KEVIN MCCARTHY FOR CONGRESS,5000
Verizon,KEVIN MCCARTHY FOR CONGRESS,5000
Sprint,KEVIN MCCARTHY FOR CONGRESS,1500
Cox Enterprises,KEVIN MCCARTHY FOR CONGRESS,5000
Lumen Technologies,KEVIN MCCARTHY FOR CONGRESS,5000
Charter Communications,KEVIN MCCARTHY FOR CONGRESS,10000
AT&T,HEARTLAND VALUES PAC,5000
Verizon,HEARTLAND VALUES PAC,5000
Comcast,HEARTLAND VALUES PAC,5000
Sprint,HEARTLAND VALUES PAC,3000
Cox Enterprises,HEARTLAND VALUES PAC,2000
Windstream,HEARTLAND VALUES PAC,1000
Charter Communications,HEARTLAND VALUES PAC,10000
AT&T,GUTHRIE FOR CONGRESS,5000
Verizon,GUTHRIE FOR CONGRESS,5000
Comcast,GUTHRIE FOR CONGRESS,6000
Sprint,GUTHRIE FOR CONGRESS,2000
Cox Enterprises,GUTHRIE FOR CONGRESS,2000
Lumen Technologies,GUTHRIE FOR CONGRESS,1000
Charter Communications,GUTHRIE FOR CONGRESS,10000
AT&T,CLARKE FOR CONGRESS,5000
Verizon,CLARKE FOR CONGRESS,3500
Comcast,CLARKE FOR CONGRESS,5000
Sprint,CLARKE FOR CONGRESS,1000
Cox Enterprises,CLARKE FOR CONGRESS,7500
Lumen Technologies,CLARKE FOR CONGRESS,1000
Charter Communications,CLARKE FOR CONGRESS,7500
AT&T,VAL DEMINGS FOR CONGRESS,3000
Verizon,VAL DEMINGS FOR CONGRESS,2000
Comcast,VAL DEMINGS FOR CONGRESS,16000
Cox Enterprises,VAL DEMINGS FOR CONGRESS,5500
