id,Group,Size
AT&T,ISP,2432156.03
Verizon,ISP,1050448
Comcast,ISP,3127900
Sprint,ISP,173500
Cox Enterprises,ISP,877500
Windstream,ISP,69100
TDS Telecom,ISP,29500
Lumen Technologies,ISP,355080
Charter Communications,ISP,1286750
REPUBLICAN NATIONAL COMMITTEE,Republican,260000
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Republican,190375
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Democratic,129250
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,Republican,114500
TEAM RYAN,Republican,80000
WALDEN FOR CONGRESS,Republican,57500
UPTON FOR ALL OF US,Republican,52000
COLLINS FOR CONGRESS,Republican,49000
STRANGE FOR SENATE,Republican,48000
WICKER FOR SENATE,Republican,47750
LATTA FOR CONGRESS,Republican,46500
ANN WAGNER FOR CONGRESS,Republican,45000
GRAVES FOR CONGRESS,Republican,44500
STABENOW FOR US SENATE,Democratic,44500
MONTANANS FOR TESTER,Democratic,43500
RYAN COSTELLO FOR CONGRESS,Republican,43500
HOYER FOR CONGRESS,Democratic,41000
SCALISE FOR CONGRESS,Republican,37500
DONNELLY FOR INDIANA,Democratic,36500
CRAMER FOR CONGRESS,Republican,36500
BILL NELSON FOR U S SENATE,Democratic,36500
NEW PIONEERS PAC,Republican,36500
HELLER FOR SENATE,Republican,35500
BILLY LONG FOR CONGRESS,Republican,35500
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,Democratic,35000
"RYAN FOR CONGRESS, INC.",Republican,35000
CROWLEY FOR CONGRESS,Democratic,34500
KINZINGER FOR CONGRESS,Republican,34000
HAWAII PAC,Democratic,33500
JEFF FLAKE FOR US SENATE INC,Republican,33000
VOLUNTEERS FOR SHIMKUS,Republican,33000
ISSA FOR CONGRESS,Republican,33000
ALAMO PAC,Republican,33000
WALTERS FOR CONGRESS,Republican,32500
SCOTT PETERS FOR CONGRESS,Democratic,32500
OLSON FOR CONGRESS COMMITTEE,Republican,32500
JOHNSON FOR CONGRESS,Republican,32000
HATCH ELECTION COMMITTEE INC,Republican,32000
KAINE FOR VIRGINIA,Democratic,31500
KEVIN MCCARTHY FOR CONGRESS,Republican,31500
HEARTLAND VALUES PAC,Republican,31000
GUTHRIE FOR CONGRESS,Republican,31000
CLARKE FOR CONGRESS,Democratic,30500
VAL DEMINGS FOR CONGRESS,Democratic,30000
PROMOTING OUR REPUBLICAN TEAM PAC,Republican,30000
MOVING AMERICA FORWARD,Democratic,30000
THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,Republican,30000
PALLONE FOR CONGRESS,Democratic,29500
BOB CASEY FOR SENATE INC,Democratic,29500
FRIENDS OF MAZIE HIRONO,Democratic,29500
MIKE BISHOP FOR CONGRESS,Republican,29000
MCSALLY FOR CONGRESS,Republican,29000
PAT MEEHAN FOR CONGRESS,Republican,29000
MCCASKILL FOR MISSOURI,Democratic,28500
LANCE FOR CONGRESS,Republican,28500
MULLIN FOR CONGRESS,Republican,28000
LEAD ENCOURAGE ELECT PAC - LEE PAC,Republican,26500
MATSUI FOR CONGRESS,Democratic,26500
DR. RAUL RUIZ FOR CONGRESS,Democratic,26500
FRIENDS OF JIM CLYBURN,Democratic,26000
MANCHIN FOR WEST VIRGINIA,Democratic,25500
RICHMOND FOR CONGRESS,Democratic,25500
COMMITTEE TO RE-ELECT LINDA SANCHEZ,Democratic,25000
JASON SMITH FOR CONGRESS,Republican,25000
FRIENDS OF JOHN BARRASSO,Republican,25000
RESPONSIBILITY AND FREEDOM WORK PAC (RFWPAC),Republican,25000
AMERIPAC: THE FUND FOR A GREATER AMERICA,Democratic,25000
MAJORITY COMMITTEE PAC--MC PAC,Republican,25000
PROSPERITY ACTION INC.,Republican,25000
"JOBS, OPPORTUNITIES AND EDUCATION PAC (JOE-PAC)",Democratic,25000
ROBERT ADERHOLT FOR CONGRESS,Republican,24500
BILIRAKIS FOR CONGRESS,Republican,24500
GENE GREEN CONGRESSIONAL CAMPAIGN,Democratic,24500
PEOPLE FOR BEN,Democratic,24500
FEINSTEIN FOR SENATE 2018,Democratic,24500
DEBBIE DINGELL FOR CONGRESS,Democratic,24500
KYRSTEN SINEMA FOR CONGRESS,Democratic,24000
CHARLIE DENT FOR CONGRESS,Republican,24000
KURT SCHRADER FOR CONGRESS,Democratic,24000
GEORGE HOLDING FOR CONGRESS INC.,Republican,24000
TONY CARDENAS FOR CONGRESS,Democratic,24000
FRIENDS OF SUSAN BROOKS,Republican,24000
RICHARD E NEAL FOR CONGRESS COMMITTEE,Democratic,24000
THE CONGRESSMAN JOE BARTON COMMITTEE,Republican,23500
FRIENDS OF ERIK PAULSEN,Republican,23500
MIKE KELLY FOR CONGRESS,Republican,23000
MOTOR CITY PAC,Democratic,23000
IMPACT,Democratic,23000
FRIENDS OF SHERROD BROWN,Democratic,23000
COMMITTEE TO RE-ELECT HENRY HANK JOHNSON,Democratic,22500
TIBERI FOR CONGRESS,Republican,22500
BILL SHUSTER FOR CONGRESS,Republican,22500
MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA (MARSHA PAC),Republican,22500
ALL FOR OUR COUNTRY LEADERSHIP PAC,Democratic,22500
SCALISE LEADERSHIP FUND,Republican,22500